comprehensible,repetition,grammar,main_ideas,attribution,conciseness
0.4,0.2,0.5,0.6,0.5,0.4
0.85,0.6,0.9,0.8,0.75,0.7
0.7,0.8,0.75,0.7,0.6,0.65
0.1,1.0,0.2,0.1,0.1,0.3
0.75,0.5,0.8,0.85,0.9,0.7
0.5,1.0,0.8,0.4,0.5,0.7
0.4,0.2,0.7,0.5,0.3,0.4
0.6,0.3,0.8,0.6,0.5,0.4
0.8,0.7,0.75,0.85,0.7,0.65
0.6,0.5,0.7,0.6,0.8,0.5
0.6,0.4,0.8,0.5,0.7,0.6
0.3,0.2,0.4,0.5,0.5,0.3
0.4,0.1,0.7,0.3,0.2,0.3
0.75,0.8,0.7,0.85,0.9,0.75
0.5,0.2,0.9,0.4,0.6,0.5
0.4,0.2,0.6,0.4,0.3,0.5
0.5,0.3,0.4,0.7,0.6,0.5
0.7,0.5,0.8,0.6,0.7,0.5
0.65,0.4,0.7,0.7,0.6,0.5
0.6,0.5,0.4,0.7,0.8,0.5
0.7,0.4,0.8,0.6,0.5,0.5
0.6,0.2,0.8,0.5,0.4,0.5
0.75,0.5,0.85,0.8,0.9,0.7
0.6,0.5,0.8,0.7,0.6,0.5
0.7,0.5,0.8,0.6,0.5,0.6
0.3,0.2,0.4,0.5,0.4,0.5
0.4,0.3,0.5,0.6,0.5,0.4
0.4,0.7,0.6,0.5,0.4,0.5
0.8,0.6,0.9,0.7,0.8,0.65
0.75,0.8,0.7,0.85,0.9,0.8
0.6,0.9,0.7,0.6,0.7,0.8
0.4,0.5,0.7,0.6,0.5,0.4
0.3,0.4,0.4,0.2,0.2,0.4
0.4,0.2,0.8,0.6,0.5,0.5
0.7,0.5,0.8,0.7,0.8,0.6
0.6,0.8,0.7,0.5,0.4,0.6
0.7,0.8,0.9,0.85,0.75,0.8
0.75,0.8,0.85,0.7,0.7,0.65
0.4,0.5,0.3,0.5,0.7,0.4
0.4,0.3,0.7,0.5,0.5,0.6
0.4,0.2,0.5,0.3,0.2,0.4
0.6,0.5,0.8,0.7,0.5,0.6
0.75,0.9,0.85,0.8,0.7,0.75
0.1,0.0,0.2,0.2,0.0,0.1
0.75,0.5,0.8,0.7,0.6,0.65
0.3,0.1,0.4,0.7,0.5,0.6
0.75,0.8,0.85,0.7,0.9,0.6
0.5,0.2,0.7,0.6,0.5,0.4
0.75,0.5,0.85,0.8,0.7,0.65
0.7,0.8,0.9,0.7,0.6,0.75
0.7,0.5,0.8,0.6,0.7,0.6
0.7,0.5,0.8,0.7,0.8,0.6
0.75,0.6,0.8,0.7,0.8,0.65
0.75,0.6,0.8,0.7,0.65,0.7
0.7,0.5,0.8,0.7,0.6,0.65
0.5,0.8,0.6,0.7,0.7,0.5
0.4,0.8,0.7,0.5,0.3,0.6
0.6,0.4,0.7,0.6,0.5,0.5
0.75,0.6,0.9,0.7,0.8,0.65
0.6,0.5,0.8,0.7,0.7,0.5
0.5,0.4,0.7,0.5,0.6,0.4
0.5,0.8,0.6,0.7,0.5,0.6
0.7,0.8,0.7,0.6,0.5,0.65
0.6,0.3,0.4,0.7,0.5,0.4
0.5,0.8,0.7,0.7,0.6,0.6
0.75,0.5,0.8,0.7,0.6,0.5
0.6,0.4,0.5,0.7,0.8,0.6
0.75,0.5,0.75,0.5,0.5,0.5
0.3,0.2,0.4,0.2,0.1,0.3
0.4,0.2,0.3,0.5,0.5,0.4
0.75,0.8,0.85,0.7,0.75,0.65
0.4,0.2,0.8,0.5,0.3,0.4
0.6,0.5,0.7,0.6,0.5,0.6
0.7,0.5,0.8,0.6,0.7,0.5
0.7,0.5,0.6,0.7,0.8,0.5
0.6,0.4,0.7,0.75,0.8,0.5
0.6,0.4,0.5,0.7,0.6,0.5
0.4,0.2,0.5,0.6,0.7,0.5
0.7,0.3,0.8,0.6,0.5,0.4
0.5,0.8,0.7,0.6,0.4,0.5
0.5,0.2,0.8,0.4,0.5,0.3
0.4,0.3,0.5,0.5,0.4,0.3
0.5,0.2,0.7,0.6,0.5,0.4
0.2,0.1,0.5,0.1,0.1,0.3
0.6,0.5,0.8,0.7,0.5,0.6
0.3,0.5,0.4,0.2,0.3,0.4
0.4,0.5,0.5,0.4,0.4,0.3
0.7,0.3,0.8,0.7,0.6,0.5
0.3,0.2,0.5,0.4,0.2,0.3
0.6,0.4,0.7,0.7,0.8,0.5
0.7,0.5,0.8,0.6,0.5,0.6
0.6,0.5,0.7,0.6,0.5,0.5
0.6,0.4,0.7,0.5,0.5,0.4
0.3,0.1,0.6,0.2,0.1,0.2
0.6,0.3,0.4,0.7,0.5,0.4
0.6,0.4,0.5,0.7,0.8,0.6
0.5,0.2,0.9,0.3,0.2,0.25
0.2,0.7,0.3,0.4,0.1,0.5
